  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  2.950000000000000e-13  75.713751254185638  0.000000000000000 1726.398212910802386  -20070.787526274078118  -18344.389313363277324 
  3.000000000000000e-13  76.097150480773806  0.000000000000000 1735.140346653344750  -20088.261770810640883  -18353.121424157296133 
  3.050000000000000e-13  76.483234204483409  0.000000000000000 1743.943691351042162  -20105.858729244195274  -18361.915037893151748 
  3.100000000000000e-13  76.875033927270351  0.000000000000000 1752.877370240728851  -20123.716738514143799  -18370.839368273416767 
  3.150000000000000e-13  77.275464922698021  0.000000000000000 1762.007856360477945  -20141.968898535313201  -18379.961042174836621 
  3.200000000000000e-13  77.687278065965060  0.000000000000000 1771.397874194921542  -20160.740841278078733  -18389.342967083157419 
  3.250000000000000e-13  78.113001325100797  0.000000000000000 1781.105065578144604  -20180.148030776119413  -18399.042965197975718 
  3.300000000000000e-13  78.554881249560651  0.000000000000000 1791.180655537324583  -20200.293067023856565  -18409.112411486530618 
  3.350000000000000e-13  79.014833544294476  0.000000000000000 1801.668325300073548  -20221.263409567061899  -18419.595084266988124 
  3.400000000000000e-13  79.494410070759699  0.000000000000000 1812.603459863198395  -20243.129857027652179  -18430.526397164452646 
  3.450000000000000e-13  79.994787322038093  0.000000000000000 1824.012885206400142  -20265.946014796099917  -18441.933129589699092 
  3.500000000000000e-13  80.516778488607301  0.000000000000000 1835.915143411710687  -20289.748849423263891  -18453.833706011551840 
  3.550000000000000e-13  81.060867665301856  0.000000000000000 1848.321272638574101  -20314.560265182699368  -18466.238992544123903 
  3.600000000000000e-13  81.627260723253585  0.000000000000000 1861.235967087806785  -20340.389453556850640  -18479.153486469043855 
  3.650000000000000e-13  82.215943291394282  0.000000000000000 1874.658899075389627  -20367.235578193602123  -18492.576679118214088 
  3.700000000000000e-13  82.826732860944105  0.000000000000000 1888.585907100593431  -20395.090198266520019  -18506.504291165925679 
  3.750000000000000e-13  83.459310274396614  0.000000000000000 1903.009713846689237  -20423.938749121065484  -18520.929035274377384 
  3.800000000000000e-13  84.113217059920814  0.000000000000000 1917.919865400918525  -20453.760449780165800  -18535.840584379246138 
  3.850000000000000e-13  84.787810345616194  0.000000000000000 1933.301703225284427  -20484.526246125533362  -18551.224542900250526 
  3.900000000000000e-13  85.482176638171381  0.000000000000000 1949.134398167950167  -20516.194838767034526  -18567.060440599085268 
  3.950000000000000e-13  86.195017970324642  0.000000000000000 1965.388354437887074  -20548.707413611624361  -18583.319059173736605 
  4.000000000000000e-13  86.924535090610732  0.000000000000000 1982.022546138700363  -20581.982218804692820  -18599.959672665991093 
  4.050000000000000e-13  87.668337698223809  0.000000000000000 1998.982470475702712  -20615.910386805993767  -18616.927916330292646 
  4.100000000000000e-13  88.423407755835214  0.000000000000000 2016.199311227739827  -20650.354218869309989  -18634.154907641568570 
  4.149999999999999e-13  89.186128963618401  0.000000000000000 2033.590610803501932  -20685.148542906328657  -18651.557932102827181 
  4.200000000000000e-13  89.952378213928810  0.000000000000000 2051.062355558811305  -20720.104945675455383  -18669.042590116645442 
  4.250000000000000e-13  90.717660093532743  0.000000000000000 2068.512042668962749  -20755.017989203257457  -18686.505946534292889 
  4.300000000000000e-13  91.477258609354365  0.000000000000000 2085.832139725595425  -20789.672203564809024  -18703.840063839212235 
  4.350000000000000e-13  92.226382605571288  0.000000000000000 2102.913400485949751  -20823.848761922195990  -18720.935361436248058 
  4.400000000000000e-13  92.960290192757427  0.000000000000000 2119.647702062239205  -20857.331162655216758  -18737.683460592976189 
  4.450000000000000e-13  93.674388496471195  0.000000000000000 2135.930319353714367  -20889.909756677880068  -18753.979437324167520 
  4.500000000000000e-13  94.364314267812489  0.000000000000000 2151.661763100128155  -20921.385385936577222  -18769.723622836449067 
  4.550000000000000e-13  95.026006222348983  0.000000000000000 2166.749429328342103  -20951.572642707731575  -18784.823213379389927 
  4.600000000000000e-13  95.655780870000868  0.000000000000000 2181.109328398623802  -20980.303298389339034  -18799.193969990716141 
  4.649999999999999e-13  96.250420553237731  80467840.792713567614555 2194.668092420489756  -21007.430308610517386  -18812.762216190028994 
  4.700000000000000e-13  96.808269454089114  0.000000000000000 2207.387966017443887  -21032.877845856604836  -18825.489879839162313 
  4.750000000000000e-13  97.326210460520983  0.000000000000000 2219.197873901885487  -21056.503368018682522  -18837.305494116797490 
  4.800000000000001e-13  97.803057915929884  0.000000000000000 2230.070781150726816  -21078.252506416614779  -18848.181725265887508 
  4.850000000000001e-13  98.238505166071121  0.000000000000000 2239.999695542205700  -21098.111105833519105  -18858.111410291312495 
  4.900000000000000e-13  98.633168249846065  0.000000000000000 2248.998663777769252  -21116.107281217780837  -18867.108617440011585 
  4.950000000000000e-13  98.988566034345951  94972998.727793812751770 2257.102318528319302  -21132.310551890921488  -18875.208233362602186 
  5.000000000000000e-13  99.307661869278320  0.000000000000000 2264.378229047194054  -21146.856551450582629  -18882.478322403389029 
  5.050000000000000e-13  99.592771137610541  0.000000000000000 2270.879189879014120  -21159.851528696854075  -18888.972338817839045 
  5.100000000000000e-13  99.847269437732393  0.000000000000000 2276.682170225925347  -21171.450189455321379  -18894.768019229395577 
  5.150000000000000e-13  100.074685220125332  0.000000000000000 2281.867624569520558  -21181.814192375597486  -18899.946567806076928 
  5.200000000000000e-13  100.278447435247656  0.000000000000000 2286.513738626992563  -21191.100534083307139  -18904.586795456314576 
  5.250000000000001e-13  100.461672705271951  0.000000000000000 2290.691576516283476  -21199.451772943339165  -18908.760196427054325 
  5.300000000000000e-13  100.627014590560194  0.000000000000000 2294.461643783485215  -21206.989138044176798  -18912.527494260692038 
  5.350000000000000e-13  100.776581191340881  0.000000000000000 2297.872008585410185  -21213.808804935386433  -18915.936796349975339 
  5.400000000000000e-13  100.911911869150686  0.000000000000000 2300.957770900096421  -21219.980895839133154  -18919.023124939038098 
  5.450000000000000e-13  101.033994892184111  0.000000000000000 2303.741464869824540  -21225.550344580798992  -18921.808879710973997 
  5.500000000000000e-13  101.143307782426319  0.000000000000000 2306.233978782234317  -21230.538770911709435  -18924.304792129474663 
  5.550000000000001e-13  101.239869479028187  0.000000000000000 2308.435744481167148  -21234.946858759158204  -18926.511114277989691 
  5.599999999999999e-13  101.323303596074496  0.000000000000000 2310.338179747921458  -21238.757213858600153  -18928.419034110680514 
  5.650000000000000e-13  101.392919892566937  0.000000000000000 2311.925545951068671  -21241.938045193015569  -18930.012499241947808 
  5.700000000000000e-13  101.447823030728401  53725445.422426432371140 2313.177427914838518  -21244.448106471107167  -18931.270678556269559 
  5.750000000000000e-13  101.488142754411271  0.000000000000000 2314.096784012750504  -21246.292813008079975  -18932.196028995327652 
  5.800000000000001e-13  101.511919697246555  0.000000000000000 2314.638937464924311  -21247.382263846608112  -18932.743326381685620 
  5.850000000000000e-13  101.518575578878938  0.000000000000000 2314.790702526955101  -21247.689574545449432  -18932.898872018493421 
  5.900000000000000e-13  101.507976654675119  0.000000000000000 2314.549029600948870  -21247.208247442227730  -18932.659217841279315 
  5.950000000000000e-13  101.480560581954506  77381903.001053154468536 2313.923897994532581  -21245.958024663068500  -18932.034126668535464 
  6.000000000000001e-13  101.439334088289542  0.000000000000000 2312.983866047772608  -21244.076221061779506  -18931.092355014006898 
  6.049999999999999e-13  101.383732604551952  0.000000000000000 2311.716060654832290  -21241.537132832749194  -18929.821072177917813 
  6.100000000000000e-13  101.315971969448441  0.000000000000000 2310.171006587237116  -21238.442190651465353  -18928.271184064229601 
  6.150000000000000e-13  101.238698040384890  0.000000000000000 2308.409033750996514  -21234.912530993820837  -18926.503497242825688 
  6.200000000000000e-13  101.154827517789002  0.000000000000000 2306.496647719038720  -21231.081659363480867  -18924.585011644441693 
  6.250000000000000e-13  101.067381091823052  68892508.729905933141708 2304.502725201497469  -21227.087775933843659  -18922.585050732344826 
  6.300000000000000e-13  100.982359372982188  169562217.574805349111557 2302.564089999380485  -21223.204904290720151  -18920.640814291338756 
  6.349999999999999e-13  100.901715040789512  91051991.646203160285950 2300.725266421465676  -21219.522501630421175  -18918.797235208956408 
  6.400000000000000e-13  100.830134370163748  137291796.435539186000824 2299.093109253178682  -21216.254315185222367  -18917.161205932043231 
  6.450000000000001e-13  100.769333836479703  76790530.791780740022659 2297.706756959736595  -21213.478762452916271  -18915.772005493177858 
  6.500000000000000e-13  100.718706329716710  0.000000000000000 2296.552366432896633  -21211.168192826342420  -18914.615826393444877 
  6.550000000000000e-13  100.677880214588257  174120187.506460100412369 2295.621463776105429  -21209.305675425832305  -18913.684211649728240 
  6.600000000000000e-13  100.653356339579176  55952001.336968310177326 2295.062279040332669  -21208.187730952511629  -18913.125451912179415 
  6.650000000000000e-13  100.640958226725857  0.000000000000000 2294.779581650247565  -21207.623870049683319  -18912.844288399435754 
  6.700000000000000e-13  100.639446819821330  0.000000000000000 2294.745119083863301  -21207.557431715009443  -18912.812312631147506 
  6.750000000000001e-13  100.648448314500556  184333714.889515459537506 2294.950367986077254  -21207.971234640288458  -18913.020866654209385 
  6.799999999999999e-13  100.672529346630270  54293960.884311266243458 2295.499455174933246  -21209.073530802153982  -18913.574075627220736 
  6.850000000000000e-13  100.707723185658594  0.000000000000000 2296.301932661491264  -21210.683117523360124  -18914.381184861867951 
  6.900000000000000e-13  100.750217435514358  138303134.855293035507202 2297.270871537114090  -21212.625957838517934  -18915.355086301402480 
  6.950000000000000e-13  100.801028078367494  0.000000000000000 2298.429437868403966  -21214.948521269630874  -18916.519083401228272 
  6.999999999999999e-13  100.855620721514669  0.000000000000000 2299.674240034539707  -21217.443694224475621  -18917.769454189936368 
  7.050000000000000e-13  100.912322255911263  0.000000000000000 2300.967128394048359  -21220.035131607368385  -18919.068003213320480 
  7.100000000000000e-13  100.969409215777389  93534525.905966237187386 2302.268805088978752  -21222.644218475437810  -18920.375413386460423 
  7.150000000000000e-13  101.027596522277278  44072793.526799157261848 2303.595571499186462  -21225.303672369795095  -18921.708100870608178 
  7.200000000000001e-13  101.083913384716922  136421853.714708119630814 2304.879688704620094  -21227.877902505759266  -18922.998213801140082 
  7.249999999999999e-13  101.138079781396087  0.000000000000000 2306.114771749347256  -21230.354134604702267  -18924.239362855354557 
  7.300000000000000e-13  101.185173168892604  0.000000000000000 2307.188578536977730  -21232.507853405208152  -18925.319274868230423 
  7.350000000000000e-13  101.223380989136032  146989078.742989242076874 2308.059779758618788  -21234.256387746379914  -18926.196607987760217 
  7.400000000000000e-13  101.253330191091777  0.000000000000000 2308.742670883123537  -21235.628428887495829  -18926.885758004373201 
  7.450000000000000e-13  101.270582567130447  0.000000000000000 2309.136053467775128  -21236.421442169139482  -18927.285388701362535 
  7.500000000000000e-13  101.273396455537096  52543282.456574238836765 2309.200214757313461  -21236.555933866191481  -18927.355719108876656 
  7.549999999999999e-13  101.260786312900379  50478875.563574224710464 2308.912682738988224  -21235.986832504477206  -18927.074149765488983 
  7.600000000000000e-13  101.233044644123254  114192522.871039137244225 2308.280127006290513  -21234.727285012257198  -18926.447158005965321 
  7.650000000000000e-13  101.189872317893034  184462270.039994597434998 2307.295726872682280  -21232.763457389723044  -18925.467730517040764 
  7.700000000000000e-13  101.132587047741808  57767040.799043327569962 2305.989528376672297  -21230.155248726234277  -18924.165720349563344 
  7.750000000000000e-13  101.055898509855581  172816247.226023375988007 2304.240903423287818  -21226.661093184429774  -18922.420189761141955 
  7.800000000000000e-13  100.959467989391229  199581971.051283359527588 2302.042128756305829  -21222.265466619926883  -18920.223337863622874 
  7.850000000000001e-13  100.844822900481603  0.000000000000000 2299.428031933284274  -21217.037854076494114  -18917.609822143211204 
  7.900000000000000e-13  100.708132571311324  0.000000000000000 2296.311267328540453  -21210.803457085461559  -18914.492189756922016 
  7.950000000000000e-13  100.550485537267889  82852587.335772812366486 2292.716655341485875  -21203.611955147447588  -18910.895299805961258 
  7.999999999999999e-13  100.376412827675736  64663370.565699055790901 2288.747510902348949  -21195.670061386095767  -18906.922550483744999 
  8.050000000000000e-13  100.186766131912336  62818096.025483191013336 2284.423253931498039  -21187.016783311824838  -18902.593529380326800 
  8.100000000000000e-13  99.984661803612923  40673745.137080729007721 2279.814942423773118  -21177.794440303867304  -18897.979497880092822 
  8.150000000000001e-13  99.771608746194175  145899561.290219575166702 2274.956981861915665  -21168.072042021274683  -18893.115060159358109 
  8.199999999999999e-13  99.536365488772589  52575189.963680639863014 2269.593048197500593  -21157.335923320806614  -18887.742875123305566 
  8.250000000000000e-13  99.296347675291457  26785077.410323273390532 2264.120246792246235  -21146.381777252492611  -18882.261530460247741 
  8.299999999999999e-13  99.053958371975597  44394650.135883234441280 2258.593371513434704  -21135.319572248863551  -18876.726200735429302 
  8.350000000000000e-13  98.814387873513411  48920596.857503734529018 2253.130769627241989  -21124.386318174860207  -18871.255548547618673 
  8.400000000000001e-13  98.580425959225963  99841331.509202435612679 2247.796052696381139  -21113.709426047942543  -18865.913373351562768 
  8.450000000000000e-13  98.359247104797589  47265490.834025457501411 2242.752810581265294  -21103.616095545028656  -18860.863284963765182 
  8.500000000000000e-13  98.150778120108825  0.000000000000000 2237.999374426635313  -21094.102841062511288  -18856.103466635875520 
  8.550000000000000e-13  97.956110742762391  0.000000000000000 2233.560637647702606  -21085.219160015432863  -18851.658522367732076 
  8.600000000000001e-13  97.778084686543892  0.000000000000000 2229.501350395172722  -21077.094264683877554  -18847.592914288703469 
  8.649999999999999e-13  97.619512630960728  0.000000000000000 2225.885646393700426  -21069.856257653216744  -18843.970611259515863 
  8.700000000000000e-13  97.483219554591315  0.000000000000000 2222.777939807007897  -21063.634066041551705  -18840.856126234542899 
  8.750000000000000e-13  97.371998065400845  26645073.594592466950417 2220.241906695509442  -21058.555489844176918  -18838.313583148668840 
  8.800000000000000e-13  97.289063475626889  0.000000000000000 2218.350861473179066  -21054.767939120687515  -18836.417077647507540 
  8.850000000000000e-13  97.235933357948085  0.000000000000000 2217.139407296186619  -21052.341552058634988  -18835.202144762450189 
  8.900000000000000e-13  97.214039677538096  50761698.241923235356808 2216.640195328639948  -21051.342483408410772  -18834.702288079770369 
  8.949999999999999e-13  97.223115878022554  0.000000000000000 2216.847147646245503  -21051.759012974467623  -18834.911865328220301 
  9.000000000000000e-13  97.263060663199170  0.000000000000000 2217.757954528769460  -21053.586579173646896  -18835.828624644876982 
  9.050000000000001e-13  97.332007238954787  31399035.525223266333342 2219.330049996221987  -21056.739562301976548  -18837.409512305755925 
  9.100000000000000e-13  97.427574349810087  134108345.848325118422508 2221.509137502269368  -21061.108561615608778  -18839.599424113337591 
  9.150000000000000e-13  97.543947992142009  46993105.597974032163620 2224.162648189873835  -21066.427494870091323  -18842.264846680216579 
  9.199999999999999e-13  97.680103711247227  0.000000000000000 2227.267222804750872  -21072.649039091509621  -18845.381816286757385 
  9.250000000000000e-13  97.830104234863128  0.000000000000000 2230.687481761890922  -21079.501925473214214  -18848.814443711322383 
  9.299999999999999e-13  97.989644951229295  42377817.226953580975533 2234.325272824402873  -21086.789585495320352  -18852.464312670916115 
  9.350000000000000e-13  98.156013360591672  46175612.273578554391861 2238.118746530956741  -21094.388188629342039  -18856.269442098386207 
  9.400000000000000e-13  98.324581727232328  56844353.038442037999630 2241.962382886325940  -21102.086544355490332  -18860.124161469164392 
  9.449999999999999e-13  98.492884883649765  131755971.208584144711494 2245.799972011855971  -21109.772051808748074  -18863.972079796891194 
  9.500000000000000e-13  98.651587182847209  61568287.064322657883167 2249.418645782222484  -21117.018743873890344  -18867.600098091668769 
  9.550000000000001e-13  98.801142011416260  41643130.795075833797455 2252.828742158333171  -21123.846914048637700  -18871.018171890304075 
  9.600000000000002e-13  98.938967520085725  73259641.783949464559555 2255.971390725063429  -21130.138592788724054  -18874.167202063661534 
  9.650000000000000e-13  99.054039784000665  0.000000000000000 2258.595227841666201  -21135.390897197921731  -18876.795669356255530 
  9.700000000000001e-13  99.152235518796616  59873855.602764263749123 2260.834252302342975  -21139.871903600665973  -18879.037651298323908 
  9.750000000000000e-13  99.228184578056428  65545500.698350220918655 2262.566015925286592  -21143.336738614139904  -18880.770722688852402 
  9.800000000000001e-13  99.287298173863903  133043291.212442994117737 2263.913903257107904  -21146.032356644423999  -18882.118453387316549 
  9.849999999999999e-13  99.332676848904399  67949306.321875095367432 2264.948611776983398  -21148.100272304407554  -18883.151660527422791 
  9.900000000000000e-13  99.358256017024402  0.000000000000000 2265.531858933523836  -21149.264149768714560  -18883.732290835192543 
  9.949999999999999e-13  99.365437590893109  118461652.350641116499901 2265.695610644236240  -21149.587715831352398  -18883.892105187114794 
  1.000000000000000e-12  99.359604739027233  0.000000000000000 2265.562612016245566  -21149.316492672514869  -18883.753880656269757 
